Aaron Cresswell,32,629712000,England,Defender,West Ham United,1589,1,N/A,0,0,0,1,0
Aaron Lennon,35,545554800,England,Midfielder,Burnley,1217,1,N/A,1,0,0,1,0
Aaron Mooy,32,653382000,Australia,Midfielder,Huddersfield Town,2327,1,N/A,3,1,0,4,0
Aaron Ramsey,31,662198400,Wales,Midfielder,Arsenal,1327,6,N/A,4,0,0,0,0
Aaron Rowe,22,968310000,England,Forward,Huddersfield Town,69,0,N/A,0,0,0,0,0
Aaron Wan-Bissaka,24,880531200,England,Midfielder,Crystal Palace,3135,3,N/A,0,0,0,5,1
Abdelhamid Sabiri,25,849168000,Morocco,Midfielder,Huddersfield Town,49,0,N/A,0,0,0,0,0
Abdoulaye Doucouré,29,725875200,France,Midfielder,Watford,3062,6,N/A,5,0,0,7,0
Aboubakar Kamara,27,794563200,France,Forward,Fulham,687,0,N/A,3,1,1,2,0
Adalberto Peñaranda Maestre,25,865062000,Venezuela,Forward,Watford,0,0,N/A,0,0,0,0,0
Adam David Lallana,34,579250800,England,Midfielder,Liverpool,465,0,N/A,0,0,0,1,0
Adam Masina,28,757497600,Italy,Defender,Watford,1003,1,N/A,0,0,0,5,0
Adam Smith,31,672908400,England,Defender,AFC Bournemouth,2073,1,N/A,1,0,0,6,1
Adama Diakhaby,26,836550000,France,Forward,Huddersfield Town,551,0,N/A,0,0,0,1,0
Adama Traoré Diarra,26,822556800,Spain,Midfielder,Wolverhampton Wanderers,890,1,N/A,1,0,0,1,0
Ademola Lookman,25,877330800,England,Forward,Everton,601,2,N/A,0,0,0,0,0
Adrian Mariappa,36,528706800,Jamaica,Defender,Watford,1921,0,N/A,0,0,0,3,0
Adrián San Miguel del Castillo,35,536659200,Spain,Goalkeeper,West Ham United,0,0,N/A,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,605952000,Portugal,Midfielder,Leicester City,88,0,N/A,0,0,0,0,0
Ainsley Maitland-Niles,25,872838000,England,Midfielder,Arsenal,985,1,N/A,1,0,0,3,1
Alberto Moreno,30,710319600,Spain,Defender,Liverpool,155,0,N/A,0,0,0,0,0
Aleksandar Mitrović,28,779698800,Serbia,Forward,Fulham,3282,3,N/A,11,1,0,7,0
Alex Iwobi,26,831106800,Nigeria,Forward,Arsenal,1972,6,N/A,3,0,0,0,0
Alex McCarthy,32,628675200,England,Goalkeeper,Southampton,2250,0,N/A,0,0,0,1,0
Alex Oxlade-Chamberlain,29,745398000,England,Midfielder,Liverpool,19,0,N/A,0,0,0,0,0
Alex Pritchard,29,736412400,England,Midfielder,Huddersfield Town,2092,0,N/A,2,0,0,2,0
Alex Smithies,32,636624000,England,Goalkeeper,Cardiff City,0,0,N/A,0,0,0,0,0
Alexander Sørloth,26,818150400,Norway,Forward,Crystal Palace,173,0,N/A,0,0,0,0,0
Alexandre Lacazette,31,675414000,France,Forward,Arsenal,2503,8,N/A,13,0,0,2,0
Alexandre Nascimento Costa Silva,25,858499200,Portugal,Forward,West Ham United,17,0,N/A,0,0,0,0,0
Alexis Sanchez,33,598521600,Chile,Forward,Manchester United,877,3,N/A,1,0,0,3,0
Alfie Jones,25,876207600,England,Defender,Southampton,0,0,N/A,0,0,0,0,0
Alfie Mawson,28,758966400,England,Defender,Fulham,1131,0,N/A,0,0,0,2,0
Alfie Whiteman,24,907311600,England,Goalkeeper,Tottenham Hotspur,0,0,N/A,0,0,0,0,0
Ali Koiki,22,966927600,England,Defender,Burnley,0,0,N/A,0,0,0,0,0
Alireza Jahanbakhsh,29,745052400,Iran,Forward,Brighton & Hove Albion,1022,0,N/A,0,0,0,2,0
Alisson Becker,30,718009200,Brazil,Goalkeeper,Liverpool,3420,0,N/A,0,0,0,1,0
Alvaro Morata,30,719823600,Spain,Forward,Chelsea,943,0,N/A,5,0,0,3,0
Ander Herrera,33,619081200,Spain,Midfielder,Manchester United,1404,3,N/A,2,0,0,4,0
André Filipe Tavares Gomes,29,744015600,Portugal,Midfielder,Everton,1986,1,N/A,1,0,0,7,0
Andre Gray,31,677919600,England,Forward,Watford,1358,2,N/A,7,0,0,2,0
André Schürrle,31,657878400,Germany,Midfielder,Fulham,1650,0,N/A,6,0,0,2,0
André-Frank Zambo Anguissa,26,816508800,Cameroon,Midfielder,Fulham,1518,0,N/A,0,0,0,3,1
Andreas Christensen,26,829119600,Denmark,Defender,Chelsea,615,0,N/A,0,0,0,1,0
Andreas Pereira,26,820483200,Brazil,Midfielder,Manchester United,595,1,N/A,1,0,0,5,0
Andrew Robertson,28,763372800,Scotland,Defender,Liverpool,3219,11,N/A,0,0,0,4,0
Andrew Surman,36,524905200,England,Midfielder,AFC Bournemouth,1438,0,N/A,0,0,0,2,0
Andriy Yarmolenko,33,625129200,Ukraine,Forward,West Ham United,459,0,N/A,2,0,0,2,0
Andros Townsend,31,679647600,England,Midfielder,Crystal Palace,3018,4,N/A,6,0,0,1,0
Andy Carroll,33,600076800,England,Forward,West Ham United,454,0,N/A,0,0,0,2,0
Angel Gomes,22,967705200,England,Midfielder,Manchester United,25,0,N/A,0,0,0,0,0
Angelo Ogbonna,34,580374000,Italy,Defender,West Ham United,1870,1,N/A,1,0,0,2,0
Angus Gunn,26,822297600,England,Goalkeeper,Southampton,1080,0,N/A,0,0,0,0,0
Anthony Driscoll-Glennon,22,943603200,England,Defender,Burnley,0,0,N/A,0,0,0,0,0
Anthony Knockaert,30,690624000,France,Midfielder,Brighton & Hove Albion,1832,6,N/A,2,0,0,5,1
Anthony Martial,26,818150400,France,Forward,Manchester United,1623,2,N/A,10,1,0,2,0
Antonio Barreca,27,795513600,Italy,Defender,Newcastle United,4,0,N/A,0,0,0,0,0
Antonio Rüdiger,29,731145600,Germany,Defender,Chelsea,2874,0,N/A,1,0,0,7,0
Antonio Valencia,37,491986800,Ecuador,Defender,Manchester United,466,0,N/A,0,0,0,2,0
Arijanet Muric,23,910425600,Montenegro,Goalkeeper,Manchester City,0,0,N/A,0,0,0,0,0
Aron Einar Gunnarsson,33,609231600,Iceland,Midfielder,Cardiff City,2274,1,N/A,1,0,0,5,0
Arthur Masuaku,28,752659200,France,Defender,West Ham United,1756,1,N/A,0,0,0,2,0
Artur Boruc,42,319881600,Poland,Goalkeeper,AFC Bournemouth,1080,0,N/A,0,0,0,2,0
Ashley Barnes,32,625737600,England,Forward,Burnley,2400,2,N/A,12,2,0,8,0
Ashley Westwood,32,638956800,England,Midfielder,Burnley,2822,7,N/A,2,0,0,5,0
Ashley Young,37,489740400,England,Midfielder,Manchester United,2568,2,N/A,2,0,0,10,1
Asmir Begović,35,551170800,Bosnia and Herzegovina,Goalkeeper,AFC Bournemouth,2160,0,N/A,0,0,0,0,0
Aymeric Laporte,28,770022000,France,Defender,Manchester City,3057,3,N/A,3,0,0,3,0
Ayoze Perez,29,743929200,Spain,Forward,Newcastle United,2929,2,N/A,12,0,0,2,0
Bakary Sako,34,578041200,Mali,Midfielder,Crystal Palace,25,0,N/A,0,0,0,0,0
Ben Chilwell,25,851155200,England,Defender,Leicester City,3240,4,N/A,0,0,0,4,0
Ben Davies,29,735634800,Wales,Defender,Tottenham Hotspur,1839,0,N/A,0,0,0,2,0
Ben Foster,39,418204800,England,Goalkeeper,Watford,3420,0,N/A,0,0,0,1,0
Ben Gibson,29,727084800,England,Defender,Burnley,63,0,N/A,1,0,0,1,0
Ben Hamer,34,564393600,England,Goalkeeper,Huddersfield Town,553,0,N/A,0,0,0,0,0
Ben Mee,33,622364400,England,Defender,Burnley,3420,2,N/A,0,0,0,9,0
Ben White,25,876294000,England,Defender,Brighton & Hove Albion,0,0,N/A,0,0,0,0,0
Ben Wilmot,23,941702400,England,Defender,Watford,26,0,N/A,0,0,0,0,0
Benjamin Johnson,22,948700800,England,Forward,West Ham United,63,0,N/A,0,0,0,0,0
Benjamin Mendy,28,774428400,France,Defender,Manchester City,900,5,N/A,0,0,0,1,0
Beram Kayal,34,578559600,Israel,Midfielder,Brighton & Hove Albion,934,1,N/A,1,0,0,4,0
Bernard Anício Caldeira Duarte,30,715935600,Brazil,Midfielder,Everton,2128,3,N/A,1,0,0,5,0
Bernardo,27,800434800,Brazil,Defender,Brighton & Hove Albion,1750,1,N/A,0,0,0,4,0
Bernardo Silva,28,776502000,Portugal,Midfielder,Manchester City,2853,7,N/A,7,0,0,3,0
Bernd Leno,30,699696000,Germany,Goalkeeper,Arsenal,2835,0,N/A,0,0,0,0,0
Bobby Reid,29,728640000,England,Midfielder,Cardiff City,1422,2,N/A,5,1,0,0,0
Brian Murphy,39,421138800,Republic of Ireland,Goalkeeper,Cardiff City,0,0,N/A,0,0,0,0,0
Bright Enobakhare,24,886924800,England,Forward,Wolverhampton Wanderers,0,0,N/A,0,0,0,0,0
Bruno Écuélé Manga,34,585039600,Gabon,Defender,Cardiff City,3375,1,N/A,0,0,0,0,0
Bruno Saltor Grau,42,339231600,Spain,Defender,Brighton & Hove Albion,1136,1,N/A,0,0,0,2,0
Caglar Söyüncü,26,832834800,Turkey,Defender,Leicester City,371,0,N/A,0,0,0,1,0
Callum Hudson-Odoi,21,973584000,England,Midfielder,Chelsea,391,1,N/A,0,0,0,0,0
Callum Paterson,28,782031600,Scotland,Defender,Cardiff City,1996,1,N/A,4,0,0,4,0
Callum Roberts,25,861001200,England,Forward,Newcastle United,0,0,N/A,0,0,0,0,0
Callum Slattery,23,918460800,England,Midfielder,Southampton,110,0,N/A,0,0,0,0,0
Callum Wilson,30,699177600,England,Forward,AFC Bournemouth,2535,9,N/A,14,1,1,3,0
Calum Chambers,27,790588800,England,Defender,Fulham,2587,0,N/A,2,0,0,9,0
Cameron John,23,935478000,England,Defender,Wolverhampton Wanderers,0,0,N/A,0,0,0,0,0
Carl Jenkinson,30,697536000,England,Defender,Arsenal,166,0,N/A,0,0,0,0,0
Carlos Sánchez,36,508060800,Colombia,Midfielder,West Ham United,240,0,N/A,0,0,0,0,0
Cedric Soares,31,683622000,Portugal,Defender,Southampton,1494,2,N/A,1,0,0,4,0
Cenk Tosun,31,676278000,Turkey,Forward,Everton,1050,3,N/A,3,0,0,3,0
Cesar Azpilicueta,33,620290800,Spain,Defender,Chelsea,3403,5,N/A,1,0,0,4,0
Cesc Fabregas,35,547110000,Spain,Midfielder,Chelsea,175,0,N/A,0,0,0,1,0
Charlie Austin,33,615625200,England,Forward,Southampton,980,2,N/A,2,0,1,1,0
Charlie Daniels,36,526460400,England,Defender,AFC Bournemouth,1583,0,N/A,1,0,0,4,0
Charlie Taylor,29,748335600,England,Defender,Burnley,3240,1,N/A,0,0,0,2,0
Cheikhou Kouyaté,32,630230400,Senegal,Midfielder,Crystal Palace,1897,2,N/A,0,0,0,3,0
Chris Löwe,33,608713200,Germany,Defender,Huddersfield Town,2056,2,N/A,0,0,0,2,0
Chris Mepham,24,878716800,Wales,Defender,AFC Bournemouth,849,1,N/A,0,0,0,1,0
Chris Smalling,32,627724800,England,Defender,Manchester United,2128,0,N/A,1,0,0,1,0
Chris Wood,30,692092800,New Zealand,Forward,Burnley,2582,2,N/A,10,0,0,2,0
Christian Atsu Twasam,30,695030400,Ghana,Midfielder,Newcastle United,1487,0,N/A,1,0,0,2,0
Christian Benteke,31,660211200,Belgium,Forward,Crystal Palace,813,1,N/A,1,0,0,1,0
Christian Eriksen,30,698054400,Denmark,Midfielder,Tottenham Hotspur,2772,12,N/A,8,0,0,3,0
Christian Fuchs,36,513244800,Austria,Defender,Leicester City,206,0,N/A,0,0,0,0,0
Christian Kabasele,31,667382400,Belgium,Defender,Watford,1587,0,N/A,0,0,0,4,1
Christopher Schindler,32,641372400,Germany,Defender,Huddersfield Town,3262,0,N/A,1,0,0,6,1
Ciaran Clark,33,622796400,Republic of Ireland,Defender,Newcastle United,857,0,N/A,3,0,0,1,0
Claudio Andrés Bravo Muñoz,39,419068800,Chile,Goalkeeper,Manchester City,0,0,N/A,0,0,0,0,0
Collin Quaner,31,677228400,Germany,Forward,Huddersfield Town,37,0,N/A,0,0,0,0,0
Connor Wickham,29,733564800,England,Forward,Crystal Palace,61,1,N/A,0,0,0,0,0
Conor Coady,29,730627200,England,Midfielder,Wolverhampton Wanderers,3420,0,N/A,0,0,0,5,0
Conor Coventry,22,953971200,Republic of Ireland,Midfielder,West Ham United,0,0,N/A,0,0,0,0,0
Craig Cathcart,33,602755200,Northern Ireland,Defender,Watford,3099,0,N/A,3,0,0,2,0
Curtis Jones,21,980841600,England,Midfielder,Liverpool,0,0,N/A,0,0,0,0,0
Cyrus Christie,30,717836400,Republic of Ireland,Defender,Fulham,1943,1,N/A,0,0,0,7,0
Dale Stephens,33,613638000,England,Midfielder,Brighton & Hove Albion,2487,1,N/A,1,0,0,7,1
Damián Emiliano Martínez,30,715417200,Argentina,Goalkeeper,Arsenal,0,0,N/A,0,0,0,0,0
Dan Burn,30,705394800,England,Defender,Brighton & Hove Albion,0,0,N/A,0,0,0,0,0
Dan Gosling,32,633859200,England,Midfielder,AFC Bournemouth,1737,1,N/A,2,0,0,8,0
Daniel Amartey,27,787996800,Ghana,Midfielder,Leicester City,640,0,N/A,0,0,0,2,0
Daniel Sturridge,33,620636400,England,Forward,Liverpool,496,1,N/A,2,0,0,1,0
Daniel William John Ings,30,711874800,England,Forward,Southampton,1668,3,N/A,7,3,0,1,0
Daniel Williams,33,605347200,USA,Midfielder,Huddersfield Town,93,0,N/A,0,0,0,1,0
Danilo,31,679561200,Brazil,Defender,Manchester City,806,0,N/A,1,0,0,1,0
Danny Drinkwater,32,636624000,England,Midfielder,Chelsea,0,0,N/A,0,0,0,0,0
Danny Rose,32,646902000,England,Defender,Tottenham Hotspur,1806,3,N/A,0,0,0,5,0
Danny Simpson,35,536745600,England,Defender,Leicester City,291,0,N/A,0,0,0,0,0
Danny Ward,29,740732400,Wales,Goalkeeper,Leicester City,0,0,N/A,0,0,0,0,0
Danny Ward,31,660729600,England,Forward,Cardiff City,440,0,N/A,1,0,0,0,0
Danny Welbeck,31,659606400,England,Forward,Arsenal,147,1,N/A,1,0,0,0,0
Daryl Janmaat,33,617094000,Netherlands,Defender,Watford,1521,2,N/A,0,0,0,3,0
David Brooks,25,868345200,England,Forward,AFC Bournemouth,2278,5,N/A,7,0,0,3,0
David Button,33,604569600,England,Goalkeeper,Brighton & Hove Albion,360,0,N/A,0,0,0,0,0
David de Gea,31,657964800,Spain,Goalkeeper,Manchester United,3420,0,N/A,0,0,0,1,0
David Junior Hoilett,32,644569200,Canada,Forward,Cardiff City,2142,1,N/A,3,0,0,4,0
David Luiz,35,546073200,Brazil,Defender,Chelsea,3239,2,N/A,3,0,0,3,0
David Silva,36,505555200,Spain,Midfielder,Manchester City,2411,8,N/A,6,0,0,3,0
Davide Zappacosta,30,708246000,Italy,Defender,Chelsea,125,0,N/A,0,0,0,0,0
Davinson Sánchez Mina,26,834562800,Colombia,Defender,Tottenham Hotspur,1943,1,N/A,1,0,0,2,0
Davy Pröpper,31,683794800,Netherlands,Midfielder,Brighton & Hove Albion,2551,1,N/A,1,0,0,2,0
DeAndre Yedlin,29,742201200,USA,Defender,Newcastle United,2475,2,N/A,1,0,0,7,1
Declan Rice,23,916300800,Republic of Ireland,Midfielder,West Ham United,3005,0,N/A,2,0,0,4,0
Dejan Lovren,33,615625200,Croatia,Defender,Liverpool,985,0,N/A,1,0,0,1,0
Dele Alli,26,829206000,England,Midfielder,Tottenham Hotspur,1827,3,N/A,5,0,0,4,0
Demarai Gray,26,835945200,England,Midfielder,Leicester City,1992,1,N/A,4,0,0,2,0
Demeaco Duhaney,24,908262000,England,Defender,Huddersfield Town,46,0,N/A,0,0,0,0,0
Denis Odoi,34,580719600,Belgium,Defender,Fulham,2593,1,N/A,0,0,0,4,0
Denis Suárez,28,757843200,Spain,Midfielder,Arsenal,67,0,N/A,0,0,0,0,0
Diego Rico,29,730454400,Spain,Defender,AFC Bournemouth,607,0,N/A,0,0,0,1,0
Diogo José Teixeira da Silva,25,849686400,Portugal,Midfielder,Wolverhampton Wanderers,2371,5,N/A,9,0,0,11,0
Divock Origi,27,798188400,Belgium,Forward,Liverpool,366,1,N/A,3,0,0,0,0
Domingos Quina,22,942912000,Portugal,Midfielder,Watford,335,0,N/A,1,0,0,0,0
Dominic Calvert-Lewin,25,858499200,England,Forward,Everton,1774,2,N/A,6,0,0,3,0
Dominic Solanke,25,874220400,England,Forward,AFC Bournemouth,341,1,N/A,0,0,0,0,0
Dwight McNeil,22,943257600,England,Forward,Burnley,1599,5,N/A,3,0,0,2,0
Eden Hazard,31,663235200,Belgium,Midfielder,Chelsea,2926,15,N/A,16,4,0,2,0
Ederson,29,745570800,Brazil,Goalkeeper,Manchester City,3420,1,N/A,0,0,0,2,0
Edward Nketiah,23,928047600,England,Forward,Arsenal,62,0,N/A,1,0,0,0,0
Elias Kachunga,30,703926000,Congo DR,Forward,Huddersfield Town,1181,0,N/A,0,0,0,2,0
Emerson Hyndman,26,829033200,USA,Midfielder,AFC Bournemouth,37,0,N/A,0,0,0,0,0
Emerson Palmieri dos Santos,28,775897200,Italy,Defender,Chelsea,660,0,N/A,0,0,0,0,0
Emile Smith Rowe,22,964767600,England,Midfielder,Arsenal,0,0,N/A,0,0,0,0,0
Eric Bertrand Bailly,28,766134000,Ivory Coast,Defender,Manchester United,637,0,N/A,0,0,0,1,1
Eric Dier,28,758620800,England,Midfielder,Tottenham Hotspur,1510,0,N/A,3,0,0,4,0
Erik Durm,30,705654000,Germany,Defender,Huddersfield Town,2052,1,N/A,0,0,0,0,0
Erik Lamela,30,699696000,Argentina,Midfielder,Tottenham Hotspur,971,2,N/A,4,0,0,2,0
Ethan Ampadu,22,968914800,Wales,Midfielder,Chelsea,0,0,N/A,0,0,0,0,0
Etienne Capoue,34,584607600,France,Midfielder,Watford,2947,3,N/A,1,0,0,15,1
Fabián Cornelio Balbuena González,31,682930800,Paraguay,Defender,West Ham United,2014,0,N/A,1,0,0,2,0
Fabian Delph,32,627638400,England,Midfielder,Manchester City,725,1,N/A,0,0,0,2,1
Fabian Schär,30,693216000,Switzerland,Defender,Newcastle United,2002,1,N/A,4,0,0,12,0
Fabinho,29,751359600,Brazil,Midfielder,Liverpool,2013,2,N/A,1,0,0,6,0
Fabricio Martín Agosto Ramírez,34,567936000,Spain,Goalkeeper,Fulham,180,0,N/A,0,0,0,0,0
Faustino Marcos Alberto Rojo,32,637920000,Argentina,Defender,Manchester United,211,0,N/A,0,0,0,2,0
Federico Fernández,33,604051200,Argentina,Defender,Newcastle United,1484,1,N/A,0,0,0,2,0
Felipe Anderson Pereira Gomes,29,734857200,Brazil,Midfielder,West Ham United,3054,4,N/A,9,0,0,3,0
Fernando Llorente Torres,37,478252800,Spain,Forward,Tottenham Hotspur,683,4,N/A,1,0,0,2,0
Fernando Luiz Rosa,37,484038000,Brazil,Midfielder,Manchester City,2381,3,N/A,1,0,0,5,0
